document_id,document_number,sentence
c9d8664333f3148be58e232123f46f64c454c9e2eee7613b24b3046a29940aea,790/QĐ-ĐHCNTT,Sinh viên trình độ đại học đang học tại các cơ sở đào tạo khác muốn đăng ký học thêm
ee134b4b148baa621dfe8cf7c38c5d7c0f8380e352b63126bb5eb7348fecfe67,790/QĐ-ĐHCNTT,Việc quản lý hồ sơ sinh viên được thực hiện theo quy định
33538215fa393e13e2cf3e85247e2349304325222cd58434c2f77d044619d366,790/QĐ-ĐHCNTT,Nhiệm vụ cụ thể của cố vấn học tập có quy định riêng
28604a6850fa1ad24cf90eb4b08dcf099c42f1393c8064994bafbf1d63d519b3,790/QĐ-ĐHCNTT,Sinh viên tạm dừng học tập
d3879c06c801ac98a75b87e1e0442f5453630b5838192cd782dc8872d05d0e10,790/QĐ-ĐHCNTT,Sinh viên trình độ đại học văn bằng 1 đang học tại trường được đăng ký học thêm một
