document_id,document_number,sentence
c9d8664333f3148be58e232123f46f64c454c9e2eee7613b24b3046a29940aea,790/QĐ-ĐHCNTT,Sinh viên trình độ đại học đang học tại các cơ sở đào tạo khác muốn đăng ký học thêm
ee134b4b148baa621dfe8cf7c38c5d7c0f8380e352b63126bb5eb7348fecfe67,790/QĐ-ĐHCNTT,Việc quản lý hồ sơ sinh viên được thực hiện theo quy định
33538215fa393e13e2cf3e85247e2349304325222cd58434c2f77d044619d366,790/QĐ-ĐHCNTT,Nhiệm vụ cụ thể của cố vấn học tập có quy định riêng
7238ab8f1e91e5500e3effd433c5becb872fbc57a1aa5fcab420fb704483d09d,790/QĐ-ĐHCNTT,Học kỳ hè có tối thiểu 5 tuần thực học và 1 tuần thi
83be226430211887f9ed7b4b9ae873e47cd50439df1c6e860d849c4898723a5d,790/QĐ-ĐHCNTT,"Thang điểm đánh giá và xếp loại các loại điểm của học phần được đánh giá theo thang điểm 10 và các thang điểm khác chỉ mang tính tham khảo, chuyển đổi khi cần thiết"
28604a6850fa1ad24cf90eb4b08dcf099c42f1393c8064994bafbf1d63d519b3,790/QĐ-ĐHCNTT,Sinh viên tạm dừng học tập
d3879c06c801ac98a75b87e1e0442f5453630b5838192cd782dc8872d05d0e10,790/QĐ-ĐHCNTT,Sinh viên trình độ đại học văn bằng 1 đang học tại trường được đăng ký học thêm một
